lat,lon,aod_550nm,qc_flag,cloud_fraction,satellite,timestamp,source_type,qa_status
10.0,86.0,0.358,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,88.0,0.444,0,0.22,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,90.0,0.406,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,92.0,0.373,0,0.02,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,70.0,0.277,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,74.0,0.405,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,76.0,0.19,0,0.18,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,78.0,0.389,0,0.15,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,80.0,0.351,0,0.16,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,82.0,0.299,0,0.2,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,84.0,0.292,0,0.22,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,86.0,0.377,0,0.09,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,88.0,0.372,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
12.0,92.0,0.49,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,70.0,0.297,0,0.1,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,72.0,0.151,0,0.15,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,74.0,0.398,0,0.08,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,76.0,0.444,0,0.12,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,78.0,0.417,0,0.12,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,80.0,0.198,0,0.02,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,82.0,0.292,0,0.09,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,84.0,0.321,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,86.0,0.235,0,0.02,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,88.0,0.223,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,90.0,0.329,0,0.09,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
14.0,92.0,0.176,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,70.0,0.313,0,0.12,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,72.0,0.387,0,0.25,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,74.0,0.262,0,0.21,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,76.0,0.251,0,0.21,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,78.0,0.434,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,84.0,0.181,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,86.0,0.159,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,88.0,0.171,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,90.0,0.472,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
16.0,92.0,0.452,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,70.0,0.162,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,72.0,0.386,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,74.0,0.234,0,0.16,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,76.0,0.45,0,0.17,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,78.0,0.397,0,0.12,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,80.0,0.432,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,82.0,0.356,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,84.0,0.435,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,88.0,0.198,0,0.07,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,90.0,0.426,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
18.0,92.0,0.351,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,70.0,0.157,0,0.18,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,72.0,0.227,0,0.08,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,74.0,0.471,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,78.0,0.225,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,80.0,0.238,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,82.0,0.309,0,0.17,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,84.0,0.473,0,0.16,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,86.0,0.216,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,88.0,0.431,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,90.0,0.453,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
20.0,92.0,0.259,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,70.0,0.214,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,72.0,0.409,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,74.0,0.491,0,0.09,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,76.0,0.253,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,78.0,0.381,0,0.15,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,80.0,0.38,0,0.24,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,82.0,0.191,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,84.0,0.2,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,86.0,0.263,0,0.02,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,88.0,0.487,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
22.0,90.0,0.221,0,0.02,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,70.0,0.376,0,0.08,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,72.0,0.268,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,74.0,0.228,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,76.0,0.383,0,0.17,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,78.0,0.347,0,0.12,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,80.0,0.317,0,0.18,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,82.0,0.257,0,0.22,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,84.0,0.335,0,0.02,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,88.0,0.48,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,90.0,0.237,0,0.16,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
24.0,92.0,0.458,0,0.15,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,70.0,0.409,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,72.0,0.226,0,0.07,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,74.0,0.482,0,0.16,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,76.0,1.002,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,78.0,1.33,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,80.0,1.312,0,0.08,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,82.0,0.831,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,84.0,1.369,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,86.0,1.015,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,88.0,0.95,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
26.0,92.0,0.225,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,70.0,0.444,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,72.0,0.297,0,0.19,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,74.0,0.446,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,76.0,0.791,0,0.24,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,80.0,1.045,0,0.12,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,84.0,1.024,0,0.18,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,86.0,0.717,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,88.0,0.841,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,90.0,0.396,0,0.24,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
28.0,92.0,0.323,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,72.0,0.201,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,74.0,0.306,0,0.2,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,76.0,0.815,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,78.0,1.084,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,80.0,1.056,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,82.0,1.078,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,84.0,0.804,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,86.0,1.29,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,88.0,0.967,0,0.22,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,90.0,0.46,0,0.23,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
30.0,92.0,0.165,0,0.07,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,70.0,0.267,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,72.0,0.19,0,0.21,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,74.0,0.215,0,0.07,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,76.0,1.376,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,78.0,1.194,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,80.0,0.802,0,0.11,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,82.0,1.159,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,84.0,0.784,0,0.21,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,86.0,1.287,0,0.24,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,88.0,0.712,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,90.0,0.194,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
32.0,92.0,0.378,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,70.0,0.423,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,72.0,0.289,0,0.09,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,74.0,0.306,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,76.0,0.444,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,80.0,0.404,0,0.18,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,82.0,0.308,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,84.0,0.219,0,0.14,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,86.0,0.346,0,0.24,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,88.0,0.431,0,0.09,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,90.0,0.341,0,0.03,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
34.0,92.0,0.315,0,0.04,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
